id,question,choice(c),correct answer,which concept this question belongs to,times_appeared,times_correct
24,A model gets near-perfect training accuracy but poor validation accuracy. Which response is most appropriate?,A. Use image rotation augmentation for a tabular dataset | B. Train longer with no validation checks | C. Remove the loss function | D. Add regularization or reduce model capacity,D,Overfitting countermeasures,1,1
25,Which statement best describes L2 regularization?,A. It randomly drops examples from the validation set | B. It penalizes large weights and shrinks them toward zero | C. It replaces the optimizer with softmax | D. It converts images into RGB channels,B,Regularization,0,0
26,Which statement best describes dropout?,"A. It averages pixel values in local patches | B. During training, it randomly sets some hidden activations to zero | C. It deletes mislabeled rows from the dataset | D. It permanently removes output classes",B,Dropout,1,1
27,Why can reducing network size help with overfitting?,"A. It removes all non-linearity | B. It makes validation data part of training | C. It increases the number of trainable parameters | D. It reduces model capacity, making memorization harder",D,Overfitting countermeasures,1,1
28,Which data augmentation choice is most clearly image-specific and not naturally applicable to tabular clinical variables?,A. Reducing hidden units | B. Early stopping | C. Random rotations and brightness changes | D. L2 weight decay,C,Data augmentation,1,1
29,Which dataset split should receive random image augmentation during training?,A. Validation set only | B. All splits equally | C. Test set only | D. Training set only,D,Data augmentation,2,1
30,Why might data augmentation not completely eliminate overfitting?,"A. Augmented samples are correlated variants of existing examples, not fully new information | B. It removes the optimizer from the model | C. It converts CNNs into linear regression | D. It prevents gradients from being computed",A,Data augmentation,1,1
31,What does a pretrained network provide in transfer learning?,A. A way to avoid choosing a loss function | B. A replacement for all validation data | C. Previously learned representations from a large related dataset | D. Guaranteed perfect labels for the new dataset,C,Transfer learning,0,0
32,"In CNN feature extraction, which part of a pretrained model is usually reused?",A. The convolutional base | B. The original training labels | C. The old validation set | D. The original final classifier for ImageNet classes,A,Transfer learning,2,1
33,Why is the original dense classifier of a pretrained image model usually removed for a new task?,A. It is the only part that learns generic edges | B. It is specific to the original classes and less reusable | C. It performs padding instead of prediction | D. It contains no parameters,B,Transfer learning,2,2
34,Which layers of a CNN tend to learn the most generic visual features?,A. Validation layers | B. Layers after the output | C. Final classifier layers only | D. Early layers,D,Transfer learning,0,0
35,What does freezing a pretrained convolutional base mean?,A. Its activations are set to zero randomly | B. It is deleted from the model | C. Its weights are not updated during training | D. It is trained on the test set first,C,Transfer learning,2,2
36,Which sequence best describes fine-tuning a pretrained CNN?,"A. Remove the convolutional base and train the old classifier | B. Unfreeze all layers immediately before adding a classifier | C. Train added classifier with base frozen, then unfreeze a few top base layers and jointly train | D. Train only the test set, then freeze the labels",C,Fine-tuning,1,1
37,Why should fine-tuning usually unfreeze only top layers of the convolutional base?,"A. Bottom layers have no weights | B. Only top layers can perform max pooling | C. Top layers are always smaller than output labels | D. Top layers are more task-specific, while unfreezing many layers raises overfitting risk",D,Fine-tuning,1,1
38,What is visualized by intermediate activation maps in a CNN?,A. The random mini-batch order used by SGD | B. The one-hot labels before training | C. Feature maps produced by layers for a given input | D. The final exam answer key,C,CNN visualization,0,0
39,What is the goal of visualizing a filter by gradient ascent in input space?,A. To create validation labels | B. To find an input pattern that strongly activates that filter | C. To reduce the number of output classes | D. To choose the batch size automatically,B,CNN visualization,1,1
40,What does a class activation heatmap show?,A. Which optimizer has the lowest learning rate | B. Which samples were used in each mini-batch | C. Which labels were one-hot encoded | D. Which image regions were important for a specific class prediction,D,CNN visualization,3,2
41,"As CNN layers get deeper, what generally happens to learned visual patterns?",A. They become validation losses | B. They stop using non-linearity | C. They become more abstract and less directly interpretable | D. They become raw pixels only,C,CNN visualization,2,1
42,What is the central idea of a generative image model?,"A. Remove all randomness from training | B. Sample from a latent space and decode or generate new images | C. Replace the loss curve with accuracy only | D. Always classify images into exactly 1,000 ImageNet labels",B,Generative modeling,2,1
43,Which pair correctly describes the two parts of a GAN?,A. Encoder predicts labels; decoder performs pooling | B. Optimizer creates labels; loss function augments images | C. Generator creates synthetic images; discriminator predicts real versus fake | D. Softmax generates images; ReLU classifies them,C,GANs,1,1
44,Why is GAN training considered dynamically difficult?,A. The discriminator is frozen forever | B. GANs cannot use gradients | C. GANs have no trainable parameters | D. The generator and discriminator change the optimization landscape for each other,D,GANs,1,1
45,"When training the GAN generator, what direction are its weights pushed?",A. Toward images the discriminator is more likely to call real | B. Toward smaller input dimensions only | C. Toward zero validation examples | D. Toward images that are easier to classify as fake,A,GANs,1,1
46,Which GAN training trick was mentioned as useful for avoiding sparse gradients?,A. Remove all randomness from labels | B. Use argmax instead of softmax in the discriminator | C. Use LeakyReLU instead of standard ReLU | D. Use max pooling in every generator layer,C,GANs,1,1
47,What is an autoencoder primarily trained to do?,A. Distinguish real images from generated ones | B. Encode inputs into a compact representation and reconstruct them | C. Choose the learning rate for SGD | D. Compute class activation heatmaps,B,Autoencoders,1,1
48,What is a limitation of a plain autoencoder for generation?,"A. It requires ImageNet labels | B. It always has a discriminator | C. It cannot reconstruct inputs at all | D. Its latent space may be irregular, so nearby points may not decode meaningfully",D,Autoencoders,0,0
49,How does a VAE encode an input differently from a plain autoencoder?,"A. It encodes only the final class label | B. It encodes the input as a fixed one-hot output class | C. It encodes parameters of a distribution, such as mean and variance | D. It encodes no latent representation",C,VAEs,0,0
50,What does a regular latent space mean in the VAE context?,"A. Every point decodes to the same image | B. The latent space contains only labels | C. Latent vectors are sorted alphabetically | D. Nearby latent points decode to meaningful, smoothly related outputs",D,VAEs,3,2
51,Which two losses are combined when training a VAE?,A. Pooling loss and padding loss | B. Reconstruction loss and latent regularization loss | C. Accuracy loss and test leakage loss | D. Discriminator loss and ImageNet loss only,B,VAEs,3,2
52,Why does a VAE sample using noise around the encoded mean and variance?,A. To prevent the decoder from receiving any information | B. To replace the optimizer | C. To make the model deterministic | D. To make nearby latent points decode to similar but not identical outputs,D,VAEs,1,1
53,Which statement best compares GAN and VAE latent spaces from lecture?,A. Neither uses a latent space | B. VAEs are designed with more explicit regularity; GAN latent spaces have fewer guarantees | C. Both require labels for every latent point | D. GANs always have perfectly regular latent spaces; VAEs never generate images,B,GANs vs VAEs,0,0
54,A student says max pooling learns a separate set of weights for each image patch. What is the best correction?,"A. Max pooling is the same as a dense layer | B. Max pooling is a hardcoded summary operation, usually taking the maximum in a patch | C. Max pooling computes the loss | D. Max pooling is the output activation for multiclass classification",B,CNN components,1,1
55,A student says convolutional layers make CNNs invariant to rotation automatically. What is the best correction?,"A. Convolution is identical to dropout | B. Convolution only works for tabular data | C. Convolution helps with translation equivariance, but not automatically rotation invariance | D. Convolution removes all spatial information",C,Convolution,2,2
56,Which statement best describes a hidden dense layer in an MLP?,A. A layer that only computes validation loss | B. A fully connected layer that combines inputs using learned weights and activations | C. A layer that slides a 3 by 3 filter over an image | D. A layer that stores the test labels,B,MLPs,0,0
57,Why does increasing the number of hidden layers or units raise overfitting risk?,A. It increases model flexibility and capacity | B. It forces validation loss to equal training loss | C. It prevents the model from fitting training data | D. It removes trainable parameters,A,MLPs,1,1
58,Which statement is the best role-swap correction?,A. The validation set trains the model; the training set evaluates it | B. The optimizer measures prediction error; the loss chooses the training batches | C. The loss measures prediction error; the optimizer uses gradients of that loss to update weights | D. The activation function updates weights; the optimizer adds non-linearity,C,Network components,0,0
59,A binary classifier has one output unit. Which activation makes the output interpretable as a probability?,A. Sigmoid | B. Max pooling | C. Linear activation only | D. Softmax over ten classes,A,Output layer and loss,0,0
60,Which choice best describes categorical cross-entropy in multiclass single-label classification?,A. It randomly deletes hidden units | B. It pads images with zeros | C. It penalizes the model when probability mass is placed on incorrect classes | D. It computes the number of CNN filters,C,Loss functions,1,1
61,Which intervention belongs to architectural simplification rather than stochastic regularization?,A. Dropout | B. Shuffling mini-batches | C. Reducing the number of hidden units | D. Random image rotation,C,Overfitting countermeasures,2,1
62,Which intervention belongs to stochastic regularization?,A. Same padding | B. One-hot encoding | C. Dropout | D. Softmax,C,Dropout,1,1
63,"A 100-input dense layer connects to 20 output units. Including biases, how many parameters does it have?",A. 2000 | B. 2020 | C. 100 | D. 120,B,Parameter counts,1,1
64,"For an RGB image tensor, what does the channel depth equal?",A. 3 | B. 1 | C. 10 | D. 2,A,CNN tensors,0,0
65,"For a grayscale image tensor, what does the channel depth usually equal?",A. 10 | B. 3 | C. 1 | D. 512,C,CNN tensors,0,0
66,Which statement best explains why dense layers near the end of CNNs can dominate parameter counts?,A. Dense layers have no weights | B. Flattened feature maps can produce very large input vectors to dense layers | C. Dense layers share one small filter across the image | D. Dense layers never use bias terms,B,CNN parameter counts,3,2
67,A project has only a small image dataset. Which approach directly uses knowledge from a large image dataset?,A. Replacing images with random labels | B. Transfer learning with a pretrained CNN | C. Using argmax as the loss function | D. Removing validation loss,B,Transfer learning,1,1
68,Why might feature extraction without augmented data be computationally cheap?,A. It augments every image infinitely | B. It computes no features | C. It trains all pretrained layers from scratch every epoch | D. The convolutional base is run once and saved features are reused,D,Transfer learning,1,1
69,Which approach allows on-the-fly data augmentation with a pretrained convolutional base?,A. Only evaluate on the test set | B. Save features once before augmentation and never use the base again | C. Use the original ImageNet classifier unchanged | D. Add the frozen convolutional base inside the model and train on augmented inputs,D,Transfer learning,0,0
70,Which statement best captures why early CNN layers are reusable?,"A. They store class names from the new task | B. They calculate final accuracy only | C. They contain no learned parameters | D. They detect generic visual patterns such as edges, colors, and textures",D,Transfer learning,1,1
71,A heatmap shows a lesion classifier focusing on image corners rather than the lesion. What is the main use of this visualization?,A. Proving the optimizer is Adam | B. Debugging whether the model used relevant regions for its decision | C. Counting the number of dense-layer parameters | D. Creating one-hot labels,B,CNN visualization,2,1
72,Which statement best describes concept vectors in a latent space?,A. They are the same thing as validation losses | B. They are labels for mini-batch order | C. Directions in latent space can encode meaningful changes such as smile or sunglasses | D. They are filters used only for max pooling,C,Latent spaces,0,0
73,What is the decoder in a VAE used for?,A. Computing the stride of a convolution | B. Choosing the optimizer | C. Predicting whether an image is real or fake | D. Mapping a sampled latent point back to input space,D,VAEs,1,1
74,What makes a VAE a regularized version of an autoencoder?,A. It adds a latent distribution constraint in addition to reconstruction | B. It replaces the decoder with a discriminator only | C. It removes the bottleneck | D. It trains without any loss function,A,VAEs,1,0
75,Which option best describes the optimizer?,A. turns a convolutional feature map into an image | B. updates trainable parameters using gradients so the loss tends to decrease | C. chooses the number of classes in the dataset | D. stores the validation examples for later testing,B,Optimizer,0,0
76,A classmate asks about the optimizer. Which answer is most accurate?,A. updates trainable parameters using gradients so the loss tends to decrease | B. chooses the number of classes in the dataset | C. stores the validation examples for later testing | D. turns a convolutional feature map into an image,A,Optimizer,0,0
77,"In the lecture framework, what is the main role of the optimizer?",A. stores the validation examples for later testing | B. turns a convolutional feature map into an image | C. chooses the number of classes in the dataset | D. updates trainable parameters using gradients so the loss tends to decrease,D,Optimizer,0,0
78,Which statement avoids confusing the optimizer with another neural-network component?,A. chooses the number of classes in the dataset | B. stores the validation examples for later testing | C. updates trainable parameters using gradients so the loss tends to decrease | D. turns a convolutional feature map into an image,C,Optimizer,0,0
79,Which option best describes an optimizer step?,A. moves weights in a direction determined by the gradient and learning rate | B. decides whether the task is binary or multiclass | C. adds random image augmentations to the test set | D. computes the final class activation heatmap,A,Optimizer,0,0
80,A classmate asks about an optimizer step. Which answer is most accurate?,A. computes the final class activation heatmap | B. decides whether the task is binary or multiclass | C. adds random image augmentations to the test set | D. moves weights in a direction determined by the gradient and learning rate,D,Optimizer,0,0
81,"In the lecture framework, what is the main role of an optimizer step?",A. adds random image augmentations to the test set | B. decides whether the task is binary or multiclass | C. computes the final class activation heatmap | D. moves weights in a direction determined by the gradient and learning rate,D,Optimizer,0,0
82,Which statement avoids confusing an optimizer step with another neural-network component?,A. decides whether the task is binary or multiclass | B. computes the final class activation heatmap | C. adds random image augmentations to the test set | D. moves weights in a direction determined by the gradient and learning rate,D,Optimizer,0,0
83,Which option best describes the loss function?,A. freezes pretrained layers automatically | B. selects mini-batches at random | C. slides filters across an image | D. summarizes prediction error as a quantity the optimizer can reduce,D,Network components,0,0
84,A classmate asks about the loss function. Which answer is most accurate?,A. slides filters across an image | B. selects mini-batches at random | C. freezes pretrained layers automatically | D. summarizes prediction error as a quantity the optimizer can reduce,D,Network components,0,0
85,"In the lecture framework, what is the main role of the loss function?",A. summarizes prediction error as a quantity the optimizer can reduce | B. freezes pretrained layers automatically | C. selects mini-batches at random | D. slides filters across an image,A,Network components,0,0
86,Which statement avoids confusing the loss function with another neural-network component?,A. selects mini-batches at random | B. freezes pretrained layers automatically | C. slides filters across an image | D. summarizes prediction error as a quantity the optimizer can reduce,D,Network components,0,0
87,Which option best describes the network structure?,A. specifies how inputs are transformed into predictions through layers | B. splits data into train and validation sets | C. measures the distance between prediction and truth | D. updates parameters after gradients are computed,A,Network components,1,0
88,A classmate asks about the network structure. Which answer is most accurate?,A. measures the distance between prediction and truth | B. splits data into train and validation sets | C. updates parameters after gradients are computed | D. specifies how inputs are transformed into predictions through layers,D,Network components,0,0
89,"In the lecture framework, what is the main role of the network structure?",A. measures the distance between prediction and truth | B. splits data into train and validation sets | C. specifies how inputs are transformed into predictions through layers | D. updates parameters after gradients are computed,C,Network components,0,0
90,Which statement avoids confusing the network structure with another neural-network component?,A. updates parameters after gradients are computed | B. specifies how inputs are transformed into predictions through layers | C. measures the distance between prediction and truth | D. splits data into train and validation sets,B,Network components,0,0
91,Which option best describes overfitting on a loss curve?,A. both training and validation losses stay high from the beginning | B. validation loss is never computed | C. training loss continues falling while validation loss worsens or stops improving | D. training loss increases while validation loss falls sharply,C,Diagnosing loss curves,0,0
92,A classmate asks about overfitting on a loss curve. Which answer is most accurate?,A. training loss increases while validation loss falls sharply | B. training loss continues falling while validation loss worsens or stops improving | C. validation loss is never computed | D. both training and validation losses stay high from the beginning,B,Diagnosing loss curves,0,0
93,"In the lecture framework, what is the main role of overfitting on a loss curve?",A. training loss continues falling while validation loss worsens or stops improving | B. validation loss is never computed | C. both training and validation losses stay high from the beginning | D. training loss increases while validation loss falls sharply,A,Diagnosing loss curves,0,0
94,Which statement avoids confusing overfitting on a loss curve with another neural-network component?,A. validation loss is never computed | B. training loss increases while validation loss falls sharply | C. training loss continues falling while validation loss worsens or stops improving | D. both training and validation losses stay high from the beginning,C,Diagnosing loss curves,0,0
95,Which option best describes underfitting on a loss curve?,A. validation loss rises only after many excellent epochs | B. the model has too many correctly classified validation examples | C. training and validation performance are both poor because the model has not captured enough signal | D. training performance is excellent while validation performance is poor,C,Diagnosing loss curves,0,0
96,A classmate asks about underfitting on a loss curve. Which answer is most accurate?,A. validation loss rises only after many excellent epochs | B. training performance is excellent while validation performance is poor | C. the model has too many correctly classified validation examples | D. training and validation performance are both poor because the model has not captured enough signal,D,Diagnosing loss curves,0,0
97,"In the lecture framework, what is the main role of underfitting on a loss curve?",A. training and validation performance are both poor because the model has not captured enough signal | B. training performance is excellent while validation performance is poor | C. the model has too many correctly classified validation examples | D. validation loss rises only after many excellent epochs,A,Diagnosing loss curves,0,0
98,Which statement avoids confusing underfitting on a loss curve with another neural-network component?,A. validation loss rises only after many excellent epochs | B. training performance is excellent while validation performance is poor | C. training and validation performance are both poor because the model has not captured enough signal | D. the model has too many correctly classified validation examples,C,Diagnosing loss curves,0,0
99,Which option best describes the stochastic part of SGD?,A. the model randomly changes its architecture after each batch | B. the labels are intentionally randomized during training | C. the learning rate must be chosen randomly at every epoch | D. updates are based on randomly ordered or sampled mini-batches,D,Stochastic gradient descent,0,0
100,A classmate asks about the stochastic part of SGD. Which answer is most accurate?,A. updates are based on randomly ordered or sampled mini-batches | B. the learning rate must be chosen randomly at every epoch | C. the model randomly changes its architecture after each batch | D. the labels are intentionally randomized during training,A,Stochastic gradient descent,0,0
101,"In the lecture framework, what is the main role of the stochastic part of SGD?",A. the learning rate must be chosen randomly at every epoch | B. the model randomly changes its architecture after each batch | C. the labels are intentionally randomized during training | D. updates are based on randomly ordered or sampled mini-batches,D,Stochastic gradient descent,0,0
102,Which statement avoids confusing the stochastic part of SGD with another neural-network component?,A. updates are based on randomly ordered or sampled mini-batches | B. the model randomly changes its architecture after each batch | C. the labels are intentionally randomized during training | D. the learning rate must be chosen randomly at every epoch,A,Stochastic gradient descent,0,0
103,Which option best describes a mini-batch?,A. a subset of training examples used to compute one update | B. the number of filters in a convolutional layer | C. a fixed list of output classes | D. the full held-out test set used for final reporting,A,Stochastic gradient descent,0,0
104,A classmate asks about a mini-batch. Which answer is most accurate?,A. the number of filters in a convolutional layer | B. a fixed list of output classes | C. the full held-out test set used for final reporting | D. a subset of training examples used to compute one update,D,Stochastic gradient descent,0,0
105,"In the lecture framework, what is the main role of a mini-batch?",A. a fixed list of output classes | B. the number of filters in a convolutional layer | C. a subset of training examples used to compute one update | D. the full held-out test set used for final reporting,C,Stochastic gradient descent,0,0
106,Which statement avoids confusing a mini-batch with another neural-network component?,A. the number of filters in a convolutional layer | B. the full held-out test set used for final reporting | C. a subset of training examples used to compute one update | D. a fixed list of output classes,C,Stochastic gradient descent,0,0
107,Which option best describes the negative gradient?,A. the local downhill direction for reducing the loss | B. the direction that increases the loss fastest | C. the validation examples with wrong labels | D. the vector of predicted class labels after argmax,A,Gradient descent,0,0
108,A classmate asks about the negative gradient. Which answer is most accurate?,A. the direction that increases the loss fastest | B. the local downhill direction for reducing the loss | C. the vector of predicted class labels after argmax | D. the validation examples with wrong labels,B,Gradient descent,0,0
109,"In the lecture framework, what is the main role of the negative gradient?",A. the validation examples with wrong labels | B. the local downhill direction for reducing the loss | C. the vector of predicted class labels after argmax | D. the direction that increases the loss fastest,B,Gradient descent,0,0
110,Which statement avoids confusing the negative gradient with another neural-network component?,A. the validation examples with wrong labels | B. the local downhill direction for reducing the loss | C. the direction that increases the loss fastest | D. the vector of predicted class labels after argmax,B,Gradient descent,0,0
111,Which option best describes the learning rate?,A. controls how many labels are in a one-hot vector | B. chooses the convolutional filter size automatically | C. sets the number of image channels | D. controls how large each parameter update is,D,Gradient descent,0,0
112,A classmate asks about the learning rate. Which answer is most accurate?,A. controls how many labels are in a one-hot vector | B. controls how large each parameter update is | C. sets the number of image channels | D. chooses the convolutional filter size automatically,B,Gradient descent,0,0
113,"In the lecture framework, what is the main role of the learning rate?",A. controls how large each parameter update is | B. chooses the convolutional filter size automatically | C. sets the number of image channels | D. controls how many labels are in a one-hot vector,A,Gradient descent,0,0
114,Which statement avoids confusing the learning rate with another neural-network component?,A. sets the number of image channels | B. chooses the convolutional filter size automatically | C. controls how many labels are in a one-hot vector | D. controls how large each parameter update is,D,Gradient descent,0,0
115,Which option best describes non-linear activation functions?,A. store the training labels in a tensor | B. choose the optimizer based on accuracy | C. allow stacked layers to represent non-linear relationships | D. downsample feature maps by taking maxima,C,Activation functions,0,0
116,A classmate asks about non-linear activation functions. Which answer is most accurate?,A. store the training labels in a tensor | B. choose the optimizer based on accuracy | C. downsample feature maps by taking maxima | D. allow stacked layers to represent non-linear relationships,D,Activation functions,0,0
117,"In the lecture framework, what is the main role of non-linear activation functions?",A. allow stacked layers to represent non-linear relationships | B. store the training labels in a tensor | C. downsample feature maps by taking maxima | D. choose the optimizer based on accuracy,A,Activation functions,0,0
118,Which statement avoids confusing non-linear activation functions with another neural-network component?,A. allow stacked layers to represent non-linear relationships | B. downsample feature maps by taking maxima | C. choose the optimizer based on accuracy | D. store the training labels in a tensor,A,Activation functions,0,0
119,Which option best describes ReLU in a hidden layer?,A. computes binary cross-entropy directly | B. passes positive values while introducing a non-linear transformation | C. normalizes class scores so they sum to one | D. adds padding around the image border,B,Activation functions,0,0
120,A classmate asks about ReLU in a hidden layer. Which answer is most accurate?,A. computes binary cross-entropy directly | B. normalizes class scores so they sum to one | C. adds padding around the image border | D. passes positive values while introducing a non-linear transformation,D,Activation functions,0,0
121,"In the lecture framework, what is the main role of ReLU in a hidden layer?",A. computes binary cross-entropy directly | B. normalizes class scores so they sum to one | C. passes positive values while introducing a non-linear transformation | D. adds padding around the image border,C,Activation functions,0,0
122,Which statement avoids confusing ReLU in a hidden layer with another neural-network component?,A. normalizes class scores so they sum to one | B. passes positive values while introducing a non-linear transformation | C. computes binary cross-entropy directly | D. adds padding around the image border,B,Activation functions,0,0
123,Which option best describes a sigmoid output for binary classification?,"A. produces one probability for each of 1,000 ImageNet classes only | B. produces a single probability between 0 and 1 | C. randomly drops hidden units during training | D. extracts local image patches",B,Output layer and loss,0,0
124,A classmate asks about a sigmoid output for binary classification. Which answer is most accurate?,"A. produces one probability for each of 1,000 ImageNet classes only | B. extracts local image patches | C. randomly drops hidden units during training | D. produces a single probability between 0 and 1",D,Output layer and loss,0,0
125,"In the lecture framework, what is the main role of a sigmoid output for binary classification?","A. extracts local image patches | B. produces one probability for each of 1,000 ImageNet classes only | C. randomly drops hidden units during training | D. produces a single probability between 0 and 1",D,Output layer and loss,0,0
126,Which statement avoids confusing a sigmoid output for binary classification with another neural-network component?,"A. produces one probability for each of 1,000 ImageNet classes only | B. produces a single probability between 0 and 1 | C. randomly drops hidden units during training | D. extracts local image patches",B,Output layer and loss,0,0
127,Which option best describes softmax for multiclass single-label prediction?,A. sets half of activations to zero | B. shrinks weights toward zero | C. runs a pretrained CNN only once | D. turns class scores into a probability distribution over mutually exclusive classes,D,Output layer and loss,0,0
128,A classmate asks about softmax for multiclass single-label prediction. Which answer is most accurate?,A. turns class scores into a probability distribution over mutually exclusive classes | B. sets half of activations to zero | C. shrinks weights toward zero | D. runs a pretrained CNN only once,A,Output layer and loss,0,0
129,"In the lecture framework, what is the main role of softmax for multiclass single-label prediction?",A. turns class scores into a probability distribution over mutually exclusive classes | B. sets half of activations to zero | C. runs a pretrained CNN only once | D. shrinks weights toward zero,A,Output layer and loss,0,0
130,Which statement avoids confusing softmax for multiclass single-label prediction with another neural-network component?,A. turns class scores into a probability distribution over mutually exclusive classes | B. shrinks weights toward zero | C. sets half of activations to zero | D. runs a pretrained CNN only once,A,Output layer and loss,0,0
131,Which option best describes binary cross-entropy?,A. creates augmented images with rotations | B. penalizes confident wrong probability estimates in binary classification | C. counts convolutional parameters | D. chooses which CNN layers to unfreeze,B,Loss functions,0,0
132,A classmate asks about binary cross-entropy. Which answer is most accurate?,A. penalizes confident wrong probability estimates in binary classification | B. creates augmented images with rotations | C. counts convolutional parameters | D. chooses which CNN layers to unfreeze,A,Loss functions,0,0
133,"In the lecture framework, what is the main role of binary cross-entropy?",A. penalizes confident wrong probability estimates in binary classification | B. creates augmented images with rotations | C. chooses which CNN layers to unfreeze | D. counts convolutional parameters,A,Loss functions,0,0
134,Which statement avoids confusing binary cross-entropy with another neural-network component?,A. creates augmented images with rotations | B. penalizes confident wrong probability estimates in binary classification | C. chooses which CNN layers to unfreeze | D. counts convolutional parameters,B,Loss functions,0,0
135,Which option best describes categorical cross-entropy?,A. is a pooling operation used after convolution | B. fits only arbitrary continuous regression without an output activation | C. fits single-label multiclass problems where the target is one class among several | D. is the same as freezing a pretrained base,C,Loss functions,0,0
136,A classmate asks about categorical cross-entropy. Which answer is most accurate?,A. is the same as freezing a pretrained base | B. fits single-label multiclass problems where the target is one class among several | C. fits only arbitrary continuous regression without an output activation | D. is a pooling operation used after convolution,B,Loss functions,0,0
